ds,y
2003-08-01,193
2003-09-01,193
2003-10-01,193
2003-11-01,193
2003-12-01,193
2004-01-01,160
2004-02-01,160
2004-03-01,160
2004-04-01,160
2004-05-01,160
2004-06-01,160
2004-07-01,160
2004-08-01,160
2004-09-01,160
2004-10-01,160
2004-11-01,160
2004-12-01,160
2005-01-01,159
2005-02-01,159
2005-03-01,159
2005-04-01,159
2005-05-01,159
2005-06-01,159
2005-07-01,159
2005-08-01,159
2005-09-01,159
2005-10-01,159
2005-11-01,159
2005-12-01,159
2006-01-01,181
2006-02-01,181
2006-03-01,181
2006-04-01,181
2006-05-01,181
2006-06-01,181
2006-07-01,181
2006-08-01,181
2006-09-01,181
2006-10-01,181
2006-11-01,181
2006-12-01,181
2007-01-01,220
2007-02-01,220
2007-03-01,220
2007-04-01,220
2007-05-01,220
2007-06-01,220
2007-07-01,220
2007-08-01,220
2007-09-01,220
2007-10-01,220
2007-11-01,220
2007-12-01,220
2008-01-01,215
2008-02-01,215
2008-03-01,215
2008-04-01,215
2008-05-01,215
2008-06-01,215
2008-07-01,215
2008-08-01,215
2008-09-01,215
2008-10-01,215
2008-11-01,215
2008-12-01,215
2009-01-01,214
2009-02-01,214
2009-03-01,214
2009-04-01,214
2009-05-01,214
2009-06-01,214
2009-07-01,214
2009-08-01,214
2009-09-01,214
2009-10-01,214
2009-11-01,214
2009-12-01,214
2010-01-01,233
2010-02-01,233
2010-03-01,233
2010-04-01,233
2010-05-01,233
2010-06-01,233
2010-07-01,233
2010-08-01,233
2010-09-01,233
2010-10-01,233
2010-11-01,233
2010-12-01,233
2011-01-01,196
2011-02-01,196
2011-03-01,196
2011-04-01,196
2011-05-01,196
2011-06-01,196
2011-07-01,196
2011-08-01,196
2011-09-01,196
2011-10-01,196
2011-11-01,196
2011-12-01,196
2012-01-01,270
2012-02-01,270
2012-03-01,270
2012-04-01,270
2012-05-01,270
2012-06-01,270
2012-07-01,270
2012-08-01,270
2012-09-01,270
2012-10-01,270
2012-11-01,270
2012-12-01,270
2013-01-01,416
2013-02-01,416
2013-03-01,416
2013-04-01,416
2013-05-01,416
2013-06-01,416
2013-07-01,416
2013-08-01,416
2013-09-01,416
2013-10-01,416
2013-11-01,416
2013-12-01,416
2014-01-01,447
2014-02-01,447
2014-03-01,447
2014-04-01,447
2014-05-01,447
2014-06-01,447
2014-07-01,447
2014-08-01,447
2014-09-01,447
2014-10-01,447
2014-11-01,447
2014-12-01,447
2015-01-01,450
2015-02-01,450
2015-03-01,450
2015-04-01,450
2015-05-01,450
2015-06-01,450
2015-07-01,450
2015-08-01,450
2015-09-01,450
2015-10-01,450
2015-11-01,450
2015-12-01,450
2016-01-01,426
2016-02-01,426
2016-03-01,426
2016-04-01,426
2016-05-01,426
2016-06-01,426
2016-07-01,426
2016-08-01,426
2016-09-01,426
2016-10-01,426
2016-11-01,426
2016-12-01,426
2017-01-01,322
2017-02-01,322
2017-03-01,322
2017-04-01,322
2017-05-01,322
2017-06-01,322
2017-07-01,322
2017-08-01,322
2017-09-01,322
2017-10-01,322
2017-11-01,322
2017-12-01,322
2018-01-01,385
2018-02-01,385
2018-03-01,385
2018-04-01,385
2018-05-01,385
2018-06-01,385
2018-07-01,385
2018-08-01,385
2018-09-01,385
2018-10-01,385
2018-11-01,385
2018-12-01,385
2019-01-01,432
2019-02-01,432
2019-03-01,432
2019-04-01,432
2019-05-01,432
2019-06-01,432
2019-07-01,432
2019-08-01,432
2019-09-01,432
2019-10-01,432
2019-11-01,432
2019-12-01,432
2020-01-01,2759
2020-02-01,2759
2020-03-01,2759
2020-04-01,2759
2020-05-01,2759
2020-06-01,2759
2020-07-01,2759
2020-08-01,2759
2020-09-01,2759
2020-10-01,2759
2020-11-01,2759
2020-12-01,2759
2021-01-01,3241
2021-02-01,3241
2021-03-01,3241
2021-04-01,3241
2021-05-01,3241
2021-06-01,3241
2021-07-01,3241
2021-08-01,3241
2021-09-01,3241
2021-10-01,3241
2021-11-01,3241
2021-12-01,3241
2001-01-01,1005
2001-02-01,1005
2001-03-01,1005
2001-04-01,1005
2001-05-01,1005
2001-06-01,1005
2001-07-01,1005
2001-08-01,1005
2001-09-01,1005
2001-10-01,1005
2001-11-01,1005
2001-12-01,1005
2002-01-01,994
2002-02-01,994
2002-03-01,994
2002-04-01,994
2002-05-01,994
2002-06-01,994
2002-07-01,994
2002-08-01,994
2002-09-01,994
2002-10-01,994
2002-11-01,994
2002-12-01,994
2003-01-01,973
2003-02-01,973
2003-03-01,973
2003-04-01,973
2003-05-01,973
2003-06-01,973
2003-07-01,973
2003-08-01,973
2003-09-01,973
2003-10-01,973
2003-11-01,973
2003-12-01,973
2004-01-01,1079
2004-02-01,1079
2004-03-01,1079
2004-04-01,1079
2004-05-01,1079
2004-06-01,1079
2004-07-01,1079
2004-08-01,1079
2004-09-01,1079
2004-10-01,1079
2004-11-01,1079
2004-12-01,1079
2005-01-01,953
2005-02-01,953
2005-03-01,953
2005-04-01,953
2005-05-01,953
2005-06-01,953
2005-07-01,953
2005-08-01,953
2005-09-01,953
2005-10-01,953
2005-11-01,953
2005-12-01,953
2006-01-01,1057
2006-02-01,1057
2006-03-01,1057
2006-04-01,1057
2006-05-01,1057
2006-06-01,1057
2006-07-01,1057
2006-08-01,1057
2006-09-01,1057
2006-10-01,1057
2006-11-01,1057
2006-12-01,1057
2007-01-01,1170
2007-02-01,1170
2007-03-01,1170
2007-04-01,1170
2007-05-01,1170
2007-06-01,1170
2007-07-01,1170
2007-08-01,1170
2007-09-01,1170
2007-10-01,1170
2007-11-01,1170
2007-12-01,1170
2008-01-01,1192
2008-02-01,1192
2008-03-01,1192
2008-04-01,1192
2008-05-01,1192
2008-06-01,1192
2008-07-01,1192
2008-08-01,1192
2008-09-01,1192
2008-10-01,1192
2008-11-01,1192
2008-12-01,1192
2009-01-01,1429
2009-02-01,1429
2009-03-01,1429
2009-04-01,1429
2009-05-01,1429
2009-06-01,1429
2009-07-01,1429
2009-08-01,1429
2009-09-01,1429
2009-10-01,1429
2009-11-01,1429
2009-12-01,1429
2010-01-01,1501
2010-02-01,1501
2010-03-01,1501
2010-04-01,1501
2010-05-01,1501
2010-06-01,1501
2010-07-01,1501
2010-08-01,1501
2010-09-01,1501
2010-10-01,1501
2010-11-01,1501
2010-12-01,1501
2011-01-01,1445
2011-02-01,1445
2011-03-01,1445
2011-04-01,1445
2011-05-01,1445
2011-06-01,1445
2011-07-01,1445
2011-08-01,1445
2011-09-01,1445
2011-10-01,1445
2011-11-01,1445
2011-12-01,1445
2012-01-01,1750
2012-02-01,1750
2012-03-01,1750
2012-04-01,1750
2012-05-01,1750
2012-06-01,1750
2012-07-01,1750
2012-08-01,1750
2012-09-01,1750
2012-10-01,1750
2012-11-01,1750
2012-12-01,1750
2013-01-01,2317
2013-02-01,2317
2013-03-01,2317
2013-04-01,2317
2013-05-01,2317
2013-06-01,2317
2013-07-01,2317
2013-08-01,2317
2013-09-01,2317
2013-10-01,2317
2013-11-01,2317
2013-12-01,2317
2014-01-01,2575
2014-02-01,2575
2014-03-01,2575
2014-04-01,2575
2014-05-01,2575
2014-06-01,2575
2014-07-01,2575
2014-08-01,2575
2014-09-01,2575
2014-10-01,2575
2014-11-01,2575
2014-12-01,2575
2015-01-01,2350
2015-02-01,2350
2015-03-01,2350
2015-04-01,2350
2015-05-01,2350
2015-06-01,2350
2015-07-01,2350
2015-08-01,2350
2015-09-01,2350
2015-10-01,2350
2015-11-01,2350
2015-12-01,2350
2016-01-01,2276
2016-02-01,2276
2016-03-01,2276
2016-04-01,2276
2016-05-01,2276
2016-06-01,2276
2016-07-01,2276
2016-08-01,2276
2016-09-01,2276
2016-10-01,2276
2016-11-01,2276
2016-12-01,2276
2017-01-01,2008
2017-02-01,2008
2017-03-01,2008
2017-04-01,2008
2017-05-01,2008
2017-06-01,2008
2017-07-01,2008
